Year,Week,Team Name,Player Name,Pro Team,FPTS,Position,Position2,Position3,FTA,PTS,3PM,BLK,STL,AST,REB,TO,FGM,FGA,FTM
2024,2,Who Invited This Kid?,Keyonte George,UTA,18,PG,SG,,-5,9,2,0,4,10,3,-4,4,-8,3
2024,2,Who Invited This Kid?,Pascal Siakam,IND,117,PF,C,,-9,64,6,0,8,42,21,-16,50,-57,8
2024,2,Who Invited This Kid?,Andrew Wiggins,GSW,53,SF,PF,,-16,48,2,0,0,4,15,-8,38,-38,8
2024,2,Who Invited This Kid?,Anthony Edwards,MIN,131,SG,SF,,-14,86,8,0,16,28,15,-30,68,-56,10
2024,2,Who Invited This Kid?,Alex Caruso,OKC,20,PG,SG,,-1,6,1,4,4,8,2,-4,4,-5,1
2024,2,Who Invited This Kid?,Paolo Banchero,ORL,103,SF,PF,,-25,54,3,8,28,28,18,-22,36,-40,15
2024,2,Paulie Gee's,Onyeka Okongwu,ATL,63,C,,,-8,26,0,4,0,10,18,-2,18,-11,8
2024,2,Paulie Gee's,Zach Collins,SAS,119,PF,C,,-9,54,5,16,4,26,24,-12,42,-38,7
2024,2,Paulie Gee's,DeMar DeRozan,CHI,120,SG,SF,,-22,77,2,4,4,42,10,-4,54,-68,21
2024,2,Paulie Gee's,Julius Randle,NYK,70,PF,,,-19,41,3,0,16,22,28,-10,26,-49,12
2024,2,Paulie Gee's,Dereck Lively II,DAL,104,C,,,-6,28,0,16,12,14,37,-6,26,-19,2
2024,2,Paulie Gee's,Zion Williamson,NOP,87,PF,,,-28,64,0,0,8,28,20,-18,46,-51,18
2024,2,Paulie Gee's,Kawhi Leonard,LAC,85,SF,PF,,-8,46,5,0,16,16,14,-6,36,-39,5
2024,2,Paulie Gee's,Jalen Duren,DET,63,C,,,-3,32,0,0,12,10,23,-14,30,-29,2
2024,2,Paulie Gee's,Gordon Hayward,OKC,114,SF,,,-12,52,3,8,16,36,11,-4,42,-45,7
2024,2,Paulie Gee's,Scoot Henderson,POR,42,PG,,,-6,22,1,0,8,28,4,-14,16,-22,5
2024,2,Paulie Gee's,Tyrese Maxey,PHL,78,PG,SG,,-6,40,2,4,8,28,6,-8,32,-34,6
2024,2,Paulie Gee's,Jalen Green,HOU,48,SG,,,-14,33,4,0,8,16,6,-8,20,-26,9
2024,2,Paulie Gee's,Gradey Dick,TOR,21,SG,,,0,9,1,0,8,10,10,-4,8,-21,0
2024,2,Paulie Gee's,P.J. Washington,DAL,56,PF,,,-5,35,2,0,0,6,16,-2,30,-29,3
2024,2,Team Chigga,Tyrese Haliburton,IND,169,PG,SG,,-23,80,9,4,16,76,9,-22,50,-51,21
2024,2,Team Chigga,OG Anunoby,NYK,124,SF,,,-6,66,12,8,20,18,15,-16,52,-47,2
2024,2,Team Chigga,Aaron Gordon,DEN,126,PF,,,-12,58,3,12,16,30,29,-24,48,-41,7
2024,2,Team Chigga,Jusuf Nurkic,PHO,125,C,,,-14,36,4,24,20,36,28,-8,22,-33,10
2024,2,Team Chigga,Nikola Vucevic,CHI,157,C,,,-8,77,3,0,12,20,57,-12,68,-66,6
2024,2,Team Chigga,Jayson Tatum,BOS,148,SF,PF,,-17,95,13,0,0,16,29,-14,66,-56,16
2024,2,Team Chigga,Markelle Fultz,ORL,61,PG,SG,,-1,26,0,8,8,18,9,-6,26,-27,0
2024,2,Team Chigga,Royce O'Neale,PHO,48,SF,,,0,15,5,8,4,22,9,0,10,-25,0
2024,2,Team Chigga,Kelly Olynyk,TOR,53,PF,C,,-2,18,3,0,16,18,14,-14,14,-15,1
2024,2,Team Chigga,Paul George,LAC,110,SG,SF,PF,-14,62,12,0,16,16,13,-12,38,-33,12
2024,2,Team Chigga,Mike Conley,MIN,35,PG,,,0,13,3,0,4,18,5,0,10,-18,0
2024,2,Team Chigga,Marcus Smart,MEM,63,PG,SG,,-2,29,3,0,28,30,7,-26,24,-32,2
2024,2,Team Chigga,Kentavious Caldwell-Pope,DEN,75,SG,SF,,-1,32,7,12,20,6,8,-10,24,-24,1
2024,2,Team Chigga,Derrick White,BOS,65,PG,SG,,0,23,5,4,8,24,4,-8,18,-13,0
2024,2,Team Chigga,Kevon Looney,GSW,95,PF,C,,-4,20,0,4,12,32,30,-6,16,-13,4
2024,2,The Bronx Orthodox Church,Lonnie Walker IV,BKN,38,SG,SF,,-2,24,2,4,0,4,4,-2,20,-18,2
2024,2,The Bronx Orthodox Church,D'Angelo Russell,LAL,109,PG,SG,,-11,66,7,4,4,36,8,-14,48,-50,11
2024,2,The Bronx Orthodox Church,Russell Westbrook,LAC,109,PG,,,-7,42,3,4,36,30,17,-18,34,-37,5
2024,2,The Bronx Orthodox Church,Kristaps Porzingis,BOS,97,PF,C,,-14,50,3,16,0,12,19,-10,36,-26,11
2024,2,The Bronx Orthodox Church,Kyle Kuzma,WAS,104,SF,PF,,-5,68,8,0,0,26,18,-16,56,-55,4
2024,2,The Bronx Orthodox Church,Bennedict Mathurin,IND,31,SG,SF,,-5,13,1,0,8,20,8,-8,10,-18,2
2024,2,The Bronx Orthodox Church,Malcolm Brogdon,POR,122,PG,SG,,-17,63,7,0,16,52,17,-12,42,-60,14
2024,2,The Bronx Orthodox Church,Anthony Davis,LAL,209,PF,C,,-20,81,0,56,8,22,42,-10,64,-51,17
2024,2,The Bronx Orthodox Church,Bruce Brown,TOR,87,SG,SF,,-2,44,7,0,16,20,16,-10,36,-41,1
2024,2,The Bronx Orthodox Church,Brook Lopez,MIL,93,C,,,-6,30,5,40,16,6,15,-6,20,-32,5
