Year,Week,Type,Team Name,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name
2022,7,Regular,Fuck Kevin Garnett,Away,871,991,0,1,Team nunu man 
2022,8,Regular,Fuck Kevin Garnett,Home,1055,1181,0,1,My Entire Team  Suggs
2022,9,Regular,Fuck Kevin Garnett,Away,809,1280,0,1,The Taste of Lavar's Balls
2022,10,Regular,Fuck Kevin Garnett,Home,620,949,0,1,Michigan Wolversemen
2022,11,Regular,Fuck Kevin Garnett,Away,971,923,1,0,Ben’s Sons
2022,12,Regular,Fuck Kevin Garnett,Away,1106,1166,0,1,The Bronx Gangbangers
2022,13,Regular,Fuck Kevin Garnett,Home,846,1292,0,1,Who Invited This Kid?
2022,14,Regular,Fuck Kevin Garnett,Home,1080,1607,0,1,Monjizl Wanker Lads
2022,15,Regular,Fuck Kevin Garnett,Away,1180,968,1,0,L-Eat Gang
2022,16,Regular,Fuck Kevin Garnett,Away,981,1510,0,1,New Jersey Eren
2022,17,Regular,Fuck Kevin Garnett,Home,1005,1060,0,1,NYC Chopp Cheese
2022,18,Regular,Fuck Kevin Garnett,Away,1268,1062,1,0,Team nunu man 
2022,19,Regular,Fuck Kevin Garnett,Home,944,1738,0,1,My Entire Team  Suggs
2022,20,Regular,Fuck Kevin Garnett,Away,742,1088,0,1,The Taste of Lavar's Balls
2022,21,Regular,Fuck Kevin Garnett,Home,908,1453,0,1,Michigan Wolversemen
2022,22,Playoffs,Fuck Kevin Garnett,Away,798,76,1,0,The Bronx Gangbangers
2022,23,Playoffs,Fuck Kevin Garnett,Home,858,751,1,0,Team nunu man 
2022,24,Playoffs,Fuck Kevin Garnett,Home,763,903,0,1,NYC Chopp Cheese
2022,1,Regular,Team nunu man ,Home,1020,1034,0,1,My Entire Team  Suggs
2022,2,Regular,Team nunu man ,Home,1421,876,1,0,NYC Chopp Cheese
2022,3,Regular,Team nunu man ,Away,985,1444,0,1,The Taste of Lavar's Balls
2022,4,Regular,Team nunu man ,Away,1147,1141,1,0,Ben’s Sons
2022,5,Regular,Team nunu man ,Home,1094,1097,0,1,Michigan Wolversemen
2022,6,Regular,Team nunu man ,Away,1192,1247,0,1,Who Invited This Kid?
2022,7,Regular,Team nunu man ,Home,991,871,1,0,Fuck Kevin Garnett
2022,8,Regular,Team nunu man ,Away,715,1307,0,1,New Jersey Eren
2022,9,Regular,Team nunu man ,Home,1051,1001,1,0,Monjizl Wanker Lads
2022,10,Regular,Team nunu man ,Away,765,586,1,0,The Bronx Gangbangers
